convenience_store,fips_state_county_tract_code,gas_station,meal_delivery,meal_takeaway,park,subway_station,supermarket,train_station
,36005004100,,,,,,8.0,
,36005004200,,,,,,7.0,
,36005004300,,,,,,12.0,
,36005004400,,,,,,8.0,
,36005004600,,,,,,6.0,
,36005004800,,,,,,7.0,
,36005005001,,,,,,6.0,
,36005005002,,,,,,5.0,
,36005005100,,,,,,5.0,
,36005005200,,,,,,3.0,
,36005005300,,,,,,9.0,
,36005005400,,,,,,4.0,
,36005005600,,,,,,5.0,
,36005005902,,,,,,9.0,
,36005006000,,,,,,5.0,
,36005006100,,,,,,7.0,
,36005006200,,,,,,4.0,
,36005006300,,,,,,16.0,
,36005006400,,,,,,4.0,
,36005006500,,,,,,12.0,
,36005006700,,,,,,17.0,
,36005006800,,,,,,6.0,
,36005006900,,,,,,13.0,
,36005007000,,,,,,5.0,
,36005007100,,,,,,17.0,
,36005007200,,,,,,7.0,
,36005007300,,,,,,15.0,
,36005007400,,,,,,5.0,
,36005007500,,,,,,16.0,
,36005007600,,,,,,5.0,
,36005007700,,,,,,14.0,
,36005007800,,,,,,6.0,
,36005007900,,,,,,11.0,
,36005008300,,,,,,7.0,
,36005008400,,,,,,3.0,
,36005008500,,,,,,9.0,
,36005008600,,,,,,3.0,
,36005008700,,,,,,4.0,
,36005008900,,,,,,4.0,
,36005009000,,,,,,2.0,
,36005009200,,,,,,7.0,
,36005009300,,,,,,7.0,
,36005009600,,,,,,6.0,
,36005009800,,,,,,3.0,
,36005011000,,,,,,0.0,
,36005011502,,,,,,5.0,
,36005011700,,,,,,8.0,
,36005011800,,,,,,0.0,
,36005011900,,,,,,5.0,
,36005012101,,,,,,6.0,
,36005012102,,,,,,4.0,
,36005012300,,,,,,6.0,
,36005012500,,,,,,8.0,
,36005012701,,,,,,6.0,
,36005012901,,,,,,8.0,
,36005013000,,,,,,1.0,
,36005013100,,,,,,7.0,
,36005013200,,,,,,1.0,
,36005013300,,,,,,13.0,
,36005013500,,,,,,10.0,
,36005013800,,,,,,1.0,
,36005014100,,,,,,16.0,
,36005014300,,,,,,17.0,
,36005014400,,,,,,2.0,
,36005014500,,,,,,12.0,
,36005014701,,,,,,10.0,
,36005014702,,,,,,8.0,
,36005014900,,,,,,10.0,
,36005015100,,,,,,8.0,
,36005015200,,,,,,3.0,
,36005015300,,,,,,7.0,
,36005015500,,,,,,6.0,
,36005015700,,,,,,7.0,
,36005015800,,,,,,2.0,
,36005015900,,,,,,4.0,
,36005016000,,,,,,3.0,
,36005016100,,,,,,6.0,
,36005016200,,,,,,2.0,
,36005016300,,,,,,5.0,
,36005016400,,,,,,3.0,
,36005016500,,,,,,7.0,
4.0,36005016600,6.0,5.0,4.0,1.0,0.0,1.0,0.0
9.0,36005016700,9.0,1.0,3.0,21.0,0.0,2.0,1.0
7.0,36005016900,2.0,3.0,3.0,23.0,0.0,5.0,0.0
14.0,36005017100,9.0,1.0,4.0,19.0,3.0,7.0,0.0
17.0,36005017300,5.0,6.0,11.0,35.0,2.0,12.0,1.0
18.0,36005017500,3.0,4.0,5.0,28.0,0.0,13.0,1.0
18.0,36005017701,2.0,4.0,2.0,19.0,1.0,13.0,0.0
14.0,36005017702,1.0,2.0,2.0,20.0,2.0,12.0,0.0
18.0,36005017901,3.0,3.0,5.0,9.0,3.0,13.0,0.0
19.0,36005017902,2.0,3.0,5.0,11.0,3.0,12.0,0.0
17.0,36005018101,4.0,5.0,9.0,10.0,1.0,15.0,1.0
18.0,36005018102,3.0,4.0,7.0,11.0,3.0,15.0,0.0
13.0,36005018301,3.0,5.0,9.0,18.0,2.0,11.0,1.0
16.0,36005018302,3.0,3.0,7.0,20.0,2.0,11.0,1.0
6.0,36005018400,6.0,3.0,2.0,3.0,0.0,1.0,0.0
9.0,36005018500,4.0,4.0,3.0,43.0,0.0,15.0,1.0
7.0,36005018900,6.0,0.0,3.0,25.0,5.0,8.0,0.0
8.0,36005019300,6.0,2.0,4.0,21.0,0.0,10.0,0.0
7.0,36005019400,8.0,1.0,3.0,6.0,0.0,0.0,0.0
13.0,36005019500,4.0,3.0,8.0,22.0,3.0,9.0,0.0
19.0,36005019700,7.0,2.0,5.0,18.0,2.0,16.0,0.0
11.0,36005019900,9.0,1.0,5.0,18.0,2.0,14.0,0.0
8.0,36005020000,6.0,2.0,6.0,9.0,3.0,3.0,0.0
9.0,36005020100,7.0,0.0,4.0,16.0,1.0,5.0,0.0
8.0,36005020200,5.0,2.0,8.0,10.0,3.0,7.0,0.0
6.0,36005020400,5.0,2.0,6.0,7.0,3.0,7.0,0.0
4.0,36005020501,6.0,3.0,3.0,19.0,0.0,7.0,1.0
